Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.0032874194,-0.0177,0.00936,-0.03604,0.000641,-27.982452,-27.391863
-0.09652258,-0.08594,0.02,-0.1251,-0.04672,-28.078974,-27.4778
-0.123988174,-0.1443,0.03238,-0.2078,-0.0808,-28.202963,-27.622087
-0.13123764,-0.11444,0.02264,-0.1588,-0.07007,-28.3342,-27.73659
-0.0966557,-0.0641,0.0201,-0.1035,-0.02469,-28.430855,-27.800798
-0.1377056,-0.0373,0.0117,-0.06024,-0.01436,-28.568562,-27.837908
0.11140645,-0.05014,0.01648,-0.0824,-0.01785,-28.457155,-27.8882
0.004165092,0.1206,0.02507,0.0715,0.1697,-28.45299,-27.767595
0.12595426,0.01055,0.01611,-0.02103,0.04214,-28.327036,-27.756853
0.06797978,0.11176,0.02814,0.0566,0.1669,-28.259056,-27.645037
0.12221699,0.0593,0.02003,0.02002,0.0986,-28.136839,-27.58571
-0.020290323,-0.001612,0.00934,-0.01991,0.01668,-28.15713,-27.58742
0.017612902,-0.05283,0.01449,-0.08124,-0.02443,-28.139517,-27.640154
-0.10916774,-0.0957,0.01881,-0.1326,-0.05884,-28.248684,-27.735857
-0.10499516,-0.11017,0.02274,-0.1548,-0.0656,-28.35368,-27.846209
-0.12814355,-0.1066,0.02017,-0.1462,-0.0671,-28.481823,-27.952654
-0.05282312,-0.06934,0.01675,-0.1022,-0.0365,-28.534645,-28.02199
-0.032860752,-0.04337,0.01294,-0.0687,-0.018,-28.567507,-28.065447
