train_tot_loss,train_data_mse,train_phys_loss,val_mse
0.9690867144810525,0.9552628099918365,0.006834901967330983,0.006711734225973487
0.80020241204061,0.7758437238241497,0.006170292642261637,0.0045323517406359315
0.5908247585359373,0.5377712665419829,0.007180396369413326,0.0030818277349074683
0.5316854025188246,0.46229742153694753,0.008059299060780751,0.002664252339551846
0.47756110602303553,0.4113453830543317,0.008634718723203006,0.002584727442202469
0.4700419087159006,0.4143966067778437,0.008326921244396976,0.0025475070578977466
0.4576921337529233,0.39728464578327377,0.0087582370952556,0.002495266729965806
0.45159615654694407,0.4016176956264596,0.008869703405683762,0.0024617558422808847
0.44063295580838857,0.3956946095353679,0.008408372884763307,0.002465160893431554
0.4493248517576017,0.400643558094376,0.00873810998899372,0.002458749843450884
0.3951475808494969,0.3582995094751057,0.00839825278442157,0.0025937280151993036
0.4098899913461585,0.3702987338367261,0.008808929656975363,0.0024437070436154804
0.3980403769957392,0.3640470034197757,0.008838624387097201,0.0024060331440220275
0.38227696795212596,0.3481358336774926,0.008581218407734445,0.002432059516043713
0.41082977542751714,0.38267921068166433,0.008858056555158998,0.002454714383929968
0.40031013363286067,0.37183960684035955,0.008489608617597505,0.002490613357319186
0.3708313327086599,0.3438630998134613,0.008639010478203235,0.0024356248322874308
0.3851054201000615,0.36048437498117747,0.00900800781030404,0.002370277031635245
0.39160144015362386,0.3675834575766011,0.009003856403164957,0.002350738058642795
0.3867526070067757,0.36142370575352717,0.008658330961081543,0.002378930260116855
0.4006237324915434,0.37575278940953705,0.009566299911392363,0.0023559703646848598
0.4050283133983612,0.38298248695699794,0.009155840907049807,0.002454430175324281
0.39162957825158773,0.37098217324206706,0.009157595028610606,0.002395983300327013
0.39131487278561844,0.3710038795282966,0.008785765618085861,0.00237796218910565
0.40641929679795313,0.38821901930005925,0.009006705502734372,0.0025826639030128717
0.37726252173122604,0.3589440058720739,0.008845905185137925,0.0023861133377067745
0.3713596188708356,0.3526162654161453,0.00942121811309143,0.002360091389467319
0.38839910532298844,0.37288085410469457,0.008580316887482217,0.002408547734376043
0.36804428539778056,0.3511044022284056,0.009116822927209892,0.0023975317599251866
0.37924077871598694,0.36582462019041967,0.008358325319070565,0.002396374475210905
0.3593515385138361,0.3425653121973339,0.00941068463419613,0.002402733196504414
0.3745229252074894,0.3587560575259359,0.00913956317756521,0.0023767544771544635
0.367493798858241,0.3532893132222326,0.008649909795310936,0.0023838501850453517
0.3444034770915383,0.32971617265751485,0.009194578901913605,0.0023827821132726967
0.3562094710375133,0.34088435769081116,0.009382802453872404,0.0023499066786219678
0.35651448369026184,0.3421283638791034,0.009021454686789136,0.002339221847554048
0.35070298925826426,0.33794412644285904,0.008413154141683327,0.0024156476138159633
0.3417404097946067,0.3272280238176647,0.009652764658982816,0.002381429988114784
0.36423230641766596,0.3507487224905114,0.00889542769934786,0.002344272817329814
0.3512348689531025,0.3385938829497287,0.00872750614622706,0.002454194414895028
0.3558497836715297,0.34309782087802887,0.009380616370196404,0.002346478150381396
0.3444034716016368,0.33136457361673055,0.009115777542128375,0.002352206928965946
0.34978334762548147,0.3378829736458628,0.008693821287076724,0.002341230787957708
0.32879677728602763,0.3167944942650042,0.00880579486195194,0.0023527987844621143
0.3416148596688321,0.3298669763301548,0.009056528258186421,0.00243991493092229
0.32976764989526647,0.3177488454078373,0.009122576711601332,0.0023952467987934747
0.3365905096656398,0.3246713215975385,0.009374558067831554,0.0023459019527460137
0.3342055497985137,0.32215403726226405,0.009342613311386421,0.002436326894288262
0.32370783074905995,0.31238448698269694,0.008876874454711614,0.0023896481531361737
0.32737374619433757,0.3156416431853646,0.009493737383500525,0.002386447760121276
0.3201292314027485,0.3090884638460059,0.008912391985129369,0.0024071064738867185
0.31464404887274694,0.30336292323313263,0.009317707392926278,0.0023643332921589413
0.32648044354037237,0.3154919100435157,0.00906709799739091,0.0024249931254113712
0.33077710945355265,0.3200527092343883,0.008779064286500216,0.002479287446476519
0.3320825845003128,0.31998810015226664,0.010027159642624227,0.002403696494487425
0.32729029263320725,0.31565484090855245,0.009633912459800118,0.0023728016143043837
0.3272761992718044,0.3167697842183866,0.008821446375039062,0.0023269683782321713
0.34449562273527445,0.33323442622234944,0.009567498842156246,0.0023296904012871287
0.32605612826974767,0.31534251492274434,0.00929138689350925,0.002333952928893268
0.30636434570739146,0.2955751889630368,0.009395586204175887,0.0023641013152276478
0.3086502273616038,0.2978164008573482,0.009353232067568521,0.002408021168472866
0.32046785636952047,0.3099885598609322,0.009229221920433798,0.002344138609866301
0.30229928383701726,0.2920100465416908,0.009159008972346783,0.0024106957716867328
0.28964862854857193,0.27867163560892405,0.009683736403913875,0.0024168273278822503
0.28363472497776937,0.2731255214465292,0.00926343954511379,0.0023546601878479123
0.31777394602173253,0.3075019176069059,0.009369582795587025,0.0023471637008090815
0.2999616492735712,0.29011485608000503,0.009019374920937576,0.0023577960479694107
0.300102209182162,0.2902266653744798,0.009020177966081783,0.0023893483254748085
0.2958030912436937,0.2860046444754851,0.008927626780381328,0.002385253920995941
0.30371003872469854,0.29353132922398417,0.00940343384679995,0.002327556566645702
0.29354375561601237,0.2840215532403243,0.008906342910210552,0.002428402095877876
0.30200416359462234,0.2920416126910009,0.009198279071011041,0.0024193136293130615
