rmse,corr,r2,seed
0.055184487253427505,0.7899664556614794,0.6052963733673096,42
0.053796205669641495,0.7950601877577642,0.6249058246612549,123
0.05348754674196243,0.802855394265271,0.6291977167129517,2024
0.05056677386164665,0.8238657156245748,0.6685885190963745,7
0.05512953922152519,0.7963365221761425,0.6060820817947388,999
