train_loss,train_data_mse,train_phys_loss,val_mse_raw
-0.5138639054800335,0.9740802237862035,7.748867918914919e-05,0.006768834233904879
-0.6397865006798192,0.7247304477189717,0.00047494007326589013,0.0038812546602760753
-0.7618145315270675,0.4727013652261935,0.0026163199340532486,0.002613611868582666
-0.7975449248364097,0.39435890630671855,0.004803232946678212,0.0025308121694251895
-0.809800292316236,0.3847352046715586,0.0040609418157194,0.002506398770492524
-0.8174125207097906,0.37894731367889206,0.004033815201469942,0.0025837817035305
-0.8118281709520441,0.3959089368581772,0.004370768027576177,0.002425001914768169
-0.826982645612014,0.3787342772672051,0.0038679647259414196,0.0024554894771426916
-0.8338003378165396,0.36846515614735453,0.004615618222344078,0.002362800451616446
-0.8570301156294974,0.3331777594591442,0.004541215352027824,0.0024471053620800376
-0.8534880123640362,0.35158267578012065,0.004103196809362424,0.002368401736021042
-0.8606596526346708,0.33805035446819504,0.005222827294155171,0.0023486050001035133
-0.8714133720648917,0.33350645829188197,0.0042294951547917565,0.0024083747218052545
-0.8694653291451303,0.3424011806124135,0.004605308199595464,0.002402071472412596
-0.866980725213101,0.3554175190235439,0.0045391266160693606,0.0023905737325549126
-0.8666975968762448,0.36085900036912216,0.004916650243103504,0.0024626397838195166
-0.8705992604556837,0.3656351981978667,0.004310598486642304,0.0023582875728607178
-0.8828144010744596,0.347400910760227,0.004793696387327816,0.0023363595246337354
-0.8796403533534,0.36254066542575236,0.00451613389151661,0.0023723402603839836
-0.9013771602981969,0.3314709357525173,0.004460718274410618,0.002336073162344595
-0.8997895184316134,0.3377381500444914,0.00499863683638212,0.0023417936366361878
-0.8958458586743003,0.3577025454295309,0.004210533414918341,0.0023819549242034554
-0.9091117068340904,0.33657534812626083,0.004892357968186077,0.002366282104048878
-0.9197256690577457,0.3278673767651382,0.004522979124694278,0.002285777455351005
-0.9047776680243643,0.35835717461611094,0.004874139668812093,0.0024672425158011415
-0.9244003076302377,0.33425460991106537,0.004466748342996365,0.002313884460212042
-0.9277497812321311,0.3333336173703796,0.004738584313982804,0.0023520579755616686
-0.9228033862615886,0.34751110563152715,0.004914560735127644,0.002436010167002678
-0.928045348117226,0.3516913432823984,0.00402966596333212,0.002403989628267785
-0.9578654075923719,0.3030586042686513,0.004688902709044908,0.0023919472005218267
-0.9495584400076615,0.3202457882856068,0.005200634085524239,0.0023775064619258046
-0.9607470035552979,0.31415695226506185,0.0043902618467415635,0.0023761692767341933
-0.9531983450839394,0.3290057190154728,0.005005897096309222,0.0023725523496977985
-0.9684505682242545,0.31294305387296173,0.004637432296907431,0.00240198524746423
-0.9695121551814833,0.31496314547563853,0.00501728079918968,0.0023427509780352316
-0.973630522426806,0.3178124870908888,0.004590597984037902,0.002306751790456474
-0.980076573396984,0.3094918802380562,0.0051578756323770476,0.0023824385910605392
-0.9805143004969546,0.3175062035259448,0.004833160703511615,0.0023260851739905775
-0.9894364946766904,0.3089031404570529,0.004895099781845745,0.002453161384134243
