Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,-0.002392,0.00263,-0.007545,0.002762,-27.22669,-27.257292
-0.03146728,-0.002949,0.0008097,-0.004536,-0.001362,-27.258158,-27.26024
0.07579309,-0.00686,0.002014,-0.0108,-0.00291,-27.182365,-27.2671
0.032302152,-0.003414,0.003164,-0.00961,0.002789,-27.150063,-27.27051
0.17805915,-0.002552,0.001485,-0.005463,0.0003586,-26.972004,-27.273058
0.059447527,-0.002556,0.000546,-0.003626,-0.001486,-26.912556,-27.275621
-0.06806043,-0.004807,0.002453,-0.00961,0.0,-26.980616,-27.280428
-0.0943258,-0.003744,0.001315,-0.00632,-0.001167,-27.074942,-27.284166
-0.061453763,-0.00565,0.0007324,-0.007084,-0.004215,-27.136396,-27.289812
-0.14040753,-0.003983,0.003496,-0.01083,0.002869,-27.276804,-27.29378
-0.08315914,-0.007477,0.002827,-0.013016,-0.001938,-27.359962,-27.301256
-0.019195698,-0.002705,0.0002441,-0.003183,-0.002226,-27.379158,-27.303972
0.0031967743,-0.006737,0.0008097,-0.00832,-0.00515,-27.375961,-27.310717
-0.023328457,-0.00344,0.002584,-0.00851,0.001625,-27.39929,-27.314165
0.034612667,-0.001824,0.001268,-0.00431,0.000661,-27.364677,-27.315996
0.103297696,-0.00647,0.001692,-0.00978,-0.003155,-27.26138,-27.322466
0.15229551,0.001038,0.000598,-0.0001345,0.002209,-27.109083,-27.321428
-0.031428494,-0.001235,0.001145,-0.003479,0.00101,-27.140512,-27.322649
-0.045077957,-0.006104,0.001171,-0.0084,-0.003809,-27.18559,-27.328753
-0.095258065,-0.005474,0.001891,-0.00918,-0.001768,-27.280848,-27.334246
-0.06758065,-0.003872,0.001036,-0.0059,-0.0018425,-27.348429,-27.33809
-0.085,-0.004547,0.001359,-0.00721,-0.001884,-27.43343,-27.342669
-0.09716,-0.003052,0.002316,-0.00759,0.001488,-27.530588,-27.34572
0.039301936,-0.00564,0.001196,-0.00798,-0.003294,-27.491287,-27.351336
0.021337098,-0.003021,0.001505,-0.00597,-7.25e-05,-27.46995,-27.354387
-0.0110600665,-0.0001316,0.0006905,-0.001485,0.001222,-27.48101,-27.35451
0.037381034,-0.002285,0.000546,-0.003355,-0.001215,-27.443628,-27.356768
0.08731,-0.001666,0.003952,-0.009415,0.00608,-27.35632,-27.358416
0.1659158,-0.0006914,0.002584,-0.005756,0.004375,-27.190403,-27.359087
0.101254195,-0.00434,0.003164,-0.010544,0.001862,-27.08915,-27.36342
-0.008315484,-0.004807,0.002277,-0.00927,-0.0003433,-27.097464,-27.368242
-0.029648388,-0.00399,0.003418,-0.01069,0.002708,-27.127113,-27.37221
