Actual_DeltaH,Mean_DeltaH,Std_DeltaH,Lower_95,Upper_95,Actual_H,Mean_H
0.028209677,-0.00879,0.02313,-0.05414,0.03656,-27.22669,-27.263689
-0.03146728,0.08136,0.02483,0.0327,0.13,-27.258158,-27.18233
0.07579309,0.0855,0.02557,0.0354,0.1356,-27.182365,-27.096819
0.032302152,0.0548,0.0178,0.0199,0.0897,-27.150063,-27.04201
0.17805915,0.10065,0.0311,0.0397,0.1616,-26.972004,-26.941423
0.059447527,0.00986,0.012886,-0.015396,0.0351,-26.912556,-26.931658
-0.06806043,-0.05466,0.01617,-0.08636,-0.02295,-26.980616,-26.986345
-0.0943258,-0.09436,0.02309,-0.1396,-0.0491,-27.074942,-27.080706
-0.061453763,-0.1204,0.02522,-0.1699,-0.071,-27.136396,-27.201128
-0.14040753,-0.12134,0.02281,-0.166,-0.07666,-27.276804,-27.322466
-0.08315914,-0.08307,0.02112,-0.12445,-0.0417,-27.359962,-27.405535
-0.019195698,-0.03372,0.01608,-0.06525,-0.002197,-27.379158,-27.439226
0.0031967743,-0.04315,0.0149,-0.0724,-0.01395,-27.375961,-27.482439
-0.023328457,0.10266,0.02734,0.04907,0.1562,-27.39929,-27.379778
0.034612667,0.05106,0.02133,0.00925,0.0929,-27.364677,-27.328753
0.103297696,0.11285,0.02504,0.0638,0.1619,-27.26138,-27.215899
0.15229551,0.09607,0.02979,0.0377,0.1544,-27.109083,-27.11989
-0.031428494,0.01895,0.014885,-0.01022,0.04813,-27.140512,-27.10097
-0.045077957,-0.03738,0.01373,-0.06433,-0.01047,-27.18559,-27.138323
-0.095258065,-0.0722,0.01695,-0.10547,-0.03897,-27.280848,-27.210527
-0.06758065,-0.0988,0.01938,-0.1368,-0.06082,-27.348429,-27.309343
-0.085,-0.116,0.02565,-0.1663,-0.0658,-27.43343,-27.42531
-0.09716,-0.03427,0.01584,-0.0653,-0.003235,-27.530588,-27.459612
0.039301936,-0.02988,0.01549,-0.06024,0.000473,-27.491287,-27.48952
0.021337098,-0.0403,0.01557,-0.0708,-0.009796,-27.46995,-27.529802
-0.0110600665,0.04416,0.01811,0.00867,0.07965,-27.48101,-27.485613
0.037381034,0.0379,0.01938,-9.155e-05,0.0759,-27.443628,-27.447771
0.08731,0.01604,0.01363,-0.01068,0.04276,-27.35632,-27.43178
0.1659158,0.1677,0.04178,0.0858,0.2496,-27.190403,-27.264055
0.101254195,0.09125,0.02383,0.04453,0.138,-27.08915,-27.172808
-0.008315484,0.005493,0.012924,-0.01984,0.03082,-27.097464,-27.167315
-0.029648388,-0.05292,0.01439,-0.0811,-0.02472,-27.127113,-27.220232
-0.1042228,-0.10864,0.02596,-0.1595,-0.05777,-27.231337,-27.328875
-0.16500947,-0.05734,0.01912,-0.09485,-0.01987,-27.396345,-27.386248
-0.112597205,-0.0637,0.0211,-0.1051,-0.02237,-27.508942,-27.449968
-0.10124796,-0.076,0.01772,-0.1107,-0.04126,-27.61019,-27.525896
0.0515,0.02206,0.03528,-0.0471,0.0912,-27.558691,-27.503801
0.086243436,0.1263,0.02852,0.07043,0.1823,-27.472446,-27.377459
-0.05210795,-0.00965,0.01183,-0.03284,0.01354,-27.524555,-27.387102
0.06814247,0.09174,0.02428,0.04416,0.1393,-27.456413,-27.295366
0.034060754,0.07,0.01738,0.03595,0.10406,-27.422352,-27.225359
0.12541702,0.04968,0.02151,0.007507,0.09186,-27.296934,-27.175676
-0.034631003,-0.03397,0.01593,-0.0652,-0.002747,-27.331566,-27.209642
-0.09135699,-0.0782,0.02194,-0.1212,-0.0352,-27.422922,-27.287828
-0.19620645,-0.1138,0.02182,-0.1565,-0.07104,-27.61913,-27.401628
-0.14780645,-0.12134,0.02321,-0.1669,-0.0758,-27.766935,-27.522966
-0.102903545,-0.01199,0.01096,-0.03348,0.00949,-27.869839,-27.53493
-0.022902904,-0.0396,0.01288,-0.0648,-0.01437,-27.892742,-27.57448
0.025464516,0.006912,0.02357,-0.0393,0.0531,-27.867277,-27.567644
0.08375196,0.0461,0.02298,0.001068,0.0912,-27.783525,-27.521502
0.0021480415,0.07886,0.02357,0.03265,0.125,-27.781378,-27.442644
0.05473172,0.0919,0.02199,0.04883,0.135,-27.726646,-27.350725
0.08119409,0.04056,0.02342,-0.00534,0.0864,-27.64545,-27.310167
0.03848925,0.0541,0.02216,0.01068,0.09753,-27.606962,-27.25606
