rmse,corr,r2,fold,model
0.062027707695961,0.7597059382917979,0.5080824494361877,Fold1_2010,pinn2
0.06108579412102699,0.7673958387596087,0.5229089260101318,Fold1_2010,pinn3
0.059569165110588074,0.7449005656474348,0.5463051199913025,Fold1_2010,hybrid
0.06055568531155586,0.7930462085019552,0.561442494392395,Fold2_2015,pinn2
0.062395088374614716,0.7848927516609424,0.534395158290863,Fold2_2015,pinn3
0.056927185505628586,0.7898249613937742,0.6124246716499329,Fold2_2015,hybrid
0.06012022867798805,0.7884071937524878,0.543830394744873,Fold3_2020,pinn2
0.062344979494810104,0.7675332774464841,0.5094446539878845,Fold3_2020,pinn3
0.05779340863227844,0.7696389432117569,0.578457236289978,Fold3_2020,hybrid
