seed,rmse,corr,r2
42,0.06022927537560463,0.7685163324080595,0.5298327803611755
123,0.05257027596235275,0.8081867435879846,0.6418066024780273
2024,0.05682123452425003,0.7803959796263635,0.5815356969833374
7,0.05628417804837227,0.7946911418562925,0.5894087553024292
999,0.058533113449811935,0.7766701174960513,0.5559414029121399
